Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;;;953,07;;;933,42;976,80;965,28;962,39;;928,16
2;996,46;;;946,28;955,67;941,97;926,62;;968,35;959,19;;927,95
3;999,84;984,22;954,22;949,83;;939,65;926,51;;974,13;961,54;943,69;925,37
4;;987,12;953,11;946,59;;941,53;927,87;967,48;969,46;;940,53;919,46
5;;977,58;948,87;;940,95;936,89;;964,28;971,22;;945,13;918,15
6;1.011,82;969,47;936,70;;940,18;930,79;;966,02;;963,17;945,60;
7;1.010,98;967,59;926,52;975,82;939,67;;932,34;976,42;;963,09;940,84;
8;1.005,85;;;990,68;945,44;;940,28;971,88;964,58;961,61;;
9;1.007,51;;;993,89;941,22;933,91;945,39;;967,07;951,45;;920,02
10;1.003,92;960,60;928,25;1.000,01;;937,09;948,33;;966,35;948,77;946,24;926,89
11;;960,81;931,13;988,97;;938,88;950,43;965,64;962,73;;940,85;923,99
12;;961,89;937,45;;933,26;936,36;;969,77;955,47;;936,89;916,90
13;1.009,20;956,63;932,28;;941,20;930,25;;962,28;;954,37;932,37;
14;1.012,76;949,52;940,20;978,09;940,18;;955,73;952,37;;957,66;925,63;
15;1.004,67;;;966,07;939,43;;967,22;;954,58;963,69;;912,66
16;1.001,93;;;967,15;940,25;937,78;;;951,14;959,36;;912,03
17;1.010,68;939,54;932,36;969,23;;935,21;965,65;;948,57;956,13;932,63;913,74
18;;947,13;923,32;;;939,29;966,78;961,84;;;919,82;917,45
19;;950,43;917,97;;944,46;943,36;;966,24;;;929,26;914,99
20;1.012,36;951,78;917,76;;936,69;;;963,57;;960,34;931,36;
21;1.001,93;944,65;926,15;968,71;;;961,55;965,06;;953,21;929,00;
22;1.002,14;;;961,14;942,21;;956,65;968,63;951,03;951,78;;909,90
23;995,22;;;950,04;944,84;947,03;953,40;;954,72;950,46;;908,40
24;989,83;942,52;932,14;938,02;;950,16;948,93;;952,87;945,34;937,36;906,44
25;;946,96;926,41;937,81;;937,89;951,27;964,15;953,24;;939,57;
26;;940,99;919,92;;940,81;936,29;;962,51;956,42;;937,15;905,04
27;982,95;941,76;920,98;;938,28;930,67;;965,01;;943,47;930,89;
28;985,64;951,21;931,75;936,74;937,93;;957,82;968,64;;938,19;929,14;
29;992,07;;;937,54;940,21;;969,75;967,48;958,90;941,63;;904,54
30;990,94;;;945,42;937,37;935,74;970,09;;961,24;940,57;;
31;988,10;;946,10;;;;978,07;;;;;
Promedio;1.000,76;956,62;932,55;961,96;941,01;938,04;951,55;966,30;960,37;953,97;935,70;916,43
